customerName,country,salesrepemployeenumber
"Alpha Cognac",France,1370
"American Souvenirs Inc",USA,1286
"Amica Models & Co.",Italy,1401
"Anna's Decorations, Ltd",Australia,1611
"Atelier graphique",France,1370
"Australian Collectables, Ltd",Australia,1611
"Australian Collectors, Co.",Australia,1611
"Australian Gift Network, Co",Australia,1611
"Auto Associés & Cie.",France,1370
"Auto Canal+ Petit",France,1337
"Auto-Moto Classics Inc.",USA,1216
"AV Stores, Co.",UK,1501
"Baane Mini Imports",Norway,1504
"Bavarian Collectables Imports, Co.",Germany,1504
"Blauer See Auto, Co.",Germany,1504
"Boards & Toys Co.",USA,1166
"CAF Imports",Spain,1702
"Cambridge Collectables Co.",USA,1188
"Canadian Gift Exchange Network",Canada,1323
"Classic Gift Ideas, Inc",USA,1188
"Classic Legends Inc.",USA,1286
"Clover Collections, Co.",Ireland,1504
"Collectable Mini Designs Co.",USA,1166
"Collectables For Less Inc.",USA,1188
"Corporate Gift Ideas Co.",USA,1165
"Corrida Auto Replicas, Ltd",Spain,1702
"Cruz & Sons Co.",Philippines,1621
"Daedalus Designs Imports",France,1370
"Danish Wholesale Imports",Denmark,1401
"Diecast Classics Inc.",USA,1216
"Diecast Collectables",USA,1188
"Double Decker Gift Stores, Ltd",UK,1501
"Down Under Souveniers, Inc","New Zealand",1612
"Dragon Souveniers, Ltd.",Singapore,1621
"Enaco Distributors",Spain,1702
"Euro+ Shopping Channel",Spain,1370
"Extreme Desk Decorations, Ltd","New Zealand",1612
"Frau da Collezione",Italy,1401
FunGiftIdeas.com,USA,1216
"Gift Depot Inc.",USA,1323
"Gift Ideas Corp.",USA,1323
Gifts4AllAges.com,USA,1216
giftsbymail.co.uk,UK,1501
GiftsForHim.com,"New Zealand",1612
"Handji Gifts& Co",Singapore,1612
"Heintze Collectables",Denmark,1401
"Herkku Gifts","Norway  ",1504
"Iberia Gift Imports, Corp.",Spain,1702
"Kelly's Gift Shop","New Zealand",1612
"King Kong Collectables, Co.","Hong Kong",1621
